study_id,fold
1.2.826.0.1.3680043.10001,0
1.2.826.0.1.3680043.10005,4
1.2.826.0.1.3680043.10014,1
1.2.826.0.1.3680043.10016,0
1.2.826.0.1.3680043.10032,3
1.2.826.0.1.3680043.10041,0
1.2.826.0.1.3680043.10051,3
1.2.826.0.1.3680043.10058,1
1.2.826.0.1.3680043.10062,3
1.2.826.0.1.3680043.1010,3
1.2.826.0.1.3680043.10136,0
1.2.826.0.1.3680043.1016,4
1.2.826.0.1.3680043.10179,4
1.2.826.0.1.3680043.10204,3
1.2.826.0.1.3680043.10230,4
1.2.826.0.1.3680043.10261,0
1.2.826.0.1.3680043.10360,1
1.2.826.0.1.3680043.10400,2
1.2.826.0.1.3680043.10412,2
1.2.826.0.1.3680043.10431,4
1.2.826.0.1.3680043.10443,3
1.2.826.0.1.3680043.10449,0
1.2.826.0.1.3680043.10515,1
1.2.826.0.1.3680043.10520,3
1.2.826.0.1.3680043.10541,0
1.2.826.0.1.3680043.10579,4
1.2.826.0.1.3680043.10606,2
1.2.826.0.1.3680043.10608,2
1.2.826.0.1.3680043.10614,0
1.2.826.0.1.3680043.1062,4
1.2.826.0.1.3680043.10628,3
1.2.826.0.1.3680043.10633,1
1.2.826.0.1.3680043.10639,0
1.2.826.0.1.3680043.10673,1
1.2.826.0.1.3680043.10678,2
1.2.826.0.1.3680043.10697,4
1.2.826.0.1.3680043.1071,1
1.2.826.0.1.3680043.10725,1
1.2.826.0.1.3680043.10732,3
1.2.826.0.1.3680043.10742,4
1.2.826.0.1.3680043.10776,1
1.2.826.0.1.3680043.10781,2
1.2.826.0.1.3680043.10815,0
1.2.826.0.1.3680043.10842,3
1.2.826.0.1.3680043.10856,0
1.2.826.0.1.3680043.10909,4
1.2.826.0.1.3680043.10921,2
1.2.826.0.1.3680043.10945,3
1.2.826.0.1.3680043.11013,0
1.2.826.0.1.3680043.11015,0
1.2.826.0.1.3680043.1102,4
1.2.826.0.1.3680043.11020,1
1.2.826.0.1.3680043.11026,4
1.2.826.0.1.3680043.1107,2
1.2.826.0.1.3680043.11090,4
1.2.826.0.1.3680043.11103,4
1.2.826.0.1.3680043.11116,1
1.2.826.0.1.3680043.11118,4
1.2.826.0.1.3680043.11121,4
1.2.826.0.1.3680043.11192,2
1.2.826.0.1.3680043.11202,1
1.2.826.0.1.3680043.11227,1
1.2.826.0.1.3680043.11245,4
1.2.826.0.1.3680043.11254,1
1.2.826.0.1.3680043.11281,3
1.2.826.0.1.3680043.11300,3
1.2.826.0.1.3680043.11348,0
1.2.826.0.1.3680043.11377,0
1.2.826.0.1.3680043.11384,3
1.2.826.0.1.3680043.11392,4
1.2.826.0.1.3680043.11401,2
1.2.826.0.1.3680043.11428,2
1.2.826.0.1.3680043.11506,0
1.2.826.0.1.3680043.1151,2
1.2.826.0.1.3680043.11515,2
1.2.826.0.1.3680043.11605,3
1.2.826.0.1.3680043.11606,0
1.2.826.0.1.3680043.11610,4
1.2.826.0.1.3680043.11617,1
1.2.826.0.1.3680043.11644,1
1.2.826.0.1.3680043.11645,0
1.2.826.0.1.3680043.11654,3
1.2.826.0.1.3680043.11659,1
1.2.826.0.1.3680043.11664,3
1.2.826.0.1.3680043.1168,3
1.2.826.0.1.3680043.11683,4
1.2.826.0.1.3680043.11685,1
1.2.826.0.1.3680043.11691,1
1.2.826.0.1.3680043.11692,2
1.2.826.0.1.3680043.11709,2
1.2.826.0.1.3680043.11718,4
1.2.826.0.1.3680043.11727,0
1.2.826.0.1.3680043.11743,4
1.2.826.0.1.3680043.11757,0
1.2.826.0.1.3680043.1177,4
1.2.826.0.1.3680043.1181,1
1.2.826.0.1.3680043.11827,4
1.2.826.0.1.3680043.11834,0
1.2.826.0.1.3680043.11849,0
1.2.826.0.1.3680043.11856,2
1.2.826.0.1.3680043.1187,3
1.2.826.0.1.3680043.11870,1
1.2.826.0.1.3680043.11899,2
1.2.826.0.1.3680043.11901,0
1.2.826.0.1.3680043.1195,2
1.2.826.0.1.3680043.11988,0
1.2.826.0.1.3680043.120,0
1.2.826.0.1.3680043.12013,0
1.2.826.0.1.3680043.12031,3
1.2.826.0.1.3680043.12053,4
1.2.826.0.1.3680043.12095,2
1.2.826.0.1.3680043.12100,1
1.2.826.0.1.3680043.12109,2
1.2.826.0.1.3680043.12121,1
1.2.826.0.1.3680043.12125,0
1.2.826.0.1.3680043.12131,3
1.2.826.0.1.3680043.12138,0
1.2.826.0.1.3680043.12140,2
1.2.826.0.1.3680043.12145,0
1.2.826.0.1.3680043.12152,3
1.2.826.0.1.3680043.12161,1
1.2.826.0.1.3680043.12168,3
1.2.826.0.1.3680043.12182,1
1.2.826.0.1.3680043.12189,2
1.2.826.0.1.3680043.12233,1
1.2.826.0.1.3680043.12253,2
1.2.826.0.1.3680043.12259,3
1.2.826.0.1.3680043.12275,1
1.2.826.0.1.3680043.12281,4
1.2.826.0.1.3680043.12282,4
1.2.826.0.1.3680043.12292,2
1.2.826.0.1.3680043.12314,2
1.2.826.0.1.3680043.12328,3
1.2.826.0.1.3680043.12341,3
1.2.826.0.1.3680043.12351,3
1.2.826.0.1.3680043.12359,1
1.2.826.0.1.3680043.12361,2
1.2.826.0.1.3680043.12384,0
1.2.826.0.1.3680043.1239,3
1.2.826.0.1.3680043.12395,3
1.2.826.0.1.3680043.12409,1
1.2.826.0.1.3680043.12434,0
1.2.826.0.1.3680043.12453,1
1.2.826.0.1.3680043.12487,4
1.2.826.0.1.3680043.1252,4
1.2.826.0.1.3680043.12532,1
1.2.826.0.1.3680043.12533,4
1.2.826.0.1.3680043.12549,2
1.2.826.0.1.3680043.12550,0
1.2.826.0.1.3680043.12587,0
1.2.826.0.1.3680043.12625,3
1.2.826.0.1.3680043.12632,0
1.2.826.0.1.3680043.12636,3
1.2.826.0.1.3680043.12639,1
1.2.826.0.1.3680043.12654,2
1.2.826.0.1.3680043.12655,1
1.2.826.0.1.3680043.12666,1
1.2.826.0.1.3680043.12673,4
1.2.826.0.1.3680043.12675,2
1.2.826.0.1.3680043.12695,2
1.2.826.0.1.3680043.12702,0
1.2.826.0.1.3680043.1271,0
1.2.826.0.1.3680043.12718,1
1.2.826.0.1.3680043.12727,2
1.2.826.0.1.3680043.12764,0
1.2.826.0.1.3680043.12767,3
1.2.826.0.1.3680043.12785,1
1.2.826.0.1.3680043.128,3
1.2.826.0.1.3680043.12800,0
1.2.826.0.1.3680043.12814,2
1.2.826.0.1.3680043.12833,2
1.2.826.0.1.3680043.1286,1
1.2.826.0.1.3680043.12863,4
1.2.826.0.1.3680043.12873,2
1.2.826.0.1.3680043.12879,4
1.2.826.0.1.3680043.1291,4
1.2.826.0.1.3680043.12949,1
1.2.826.0.1.3680043.12956,4
1.2.826.0.1.3680043.1298,2
1.2.826.0.1.3680043.12998,1
1.2.826.0.1.3680043.13037,1
1.2.826.0.1.3680043.13056,3
1.2.826.0.1.3680043.13063,2
1.2.826.0.1.3680043.13064,3
1.2.826.0.1.3680043.13068,1
1.2.826.0.1.3680043.13082,0
1.2.826.0.1.3680043.1309,3
1.2.826.0.1.3680043.13091,2
1.2.826.0.1.3680043.13096,3
1.2.826.0.1.3680043.13114,1
1.2.826.0.1.3680043.13128,0
1.2.826.0.1.3680043.13153,3
1.2.826.0.1.3680043.13155,3
1.2.826.0.1.3680043.13196,4
1.2.826.0.1.3680043.13197,1
1.2.826.0.1.3680043.13203,4
1.2.826.0.1.3680043.1321,1
1.2.826.0.1.3680043.13229,0
1.2.826.0.1.3680043.13237,4
1.2.826.0.1.3680043.13324,3
1.2.826.0.1.3680043.13337,0
1.2.826.0.1.3680043.1334,2
1.2.826.0.1.3680043.13357,1
1.2.826.0.1.3680043.13359,3
1.2.826.0.1.3680043.13360,3
1.2.826.0.1.3680043.13374,3
1.2.826.0.1.3680043.13395,4
1.2.826.0.1.3680043.13401,0
1.2.826.0.1.3680043.13405,2
1.2.826.0.1.3680043.13431,4
1.2.826.0.1.3680043.1344,2
1.2.826.0.1.3680043.13440,4
1.2.826.0.1.3680043.13444,4
1.2.826.0.1.3680043.13446,4
1.2.826.0.1.3680043.13447,4
1.2.826.0.1.3680043.13451,0
1.2.826.0.1.3680043.13457,4
1.2.826.0.1.3680043.13471,3
1.2.826.0.1.3680043.13477,1
1.2.826.0.1.3680043.13479,1
1.2.826.0.1.3680043.13481,1
1.2.826.0.1.3680043.13505,1
1.2.826.0.1.3680043.13509,4
1.2.826.0.1.3680043.13519,0
1.2.826.0.1.3680043.13561,4
1.2.826.0.1.3680043.13571,3
1.2.826.0.1.3680043.13587,2
1.2.826.0.1.3680043.13591,4
1.2.826.0.1.3680043.13596,1
1.2.826.0.1.3680043.1363,3
1.2.826.0.1.3680043.13646,0
1.2.826.0.1.3680043.13703,1
1.2.826.0.1.3680043.1371,4
1.2.826.0.1.3680043.13743,4
1.2.826.0.1.3680043.13746,2
1.2.826.0.1.3680043.13756,1
1.2.826.0.1.3680043.13783,4
1.2.826.0.1.3680043.1381,3
1.2.826.0.1.3680043.13810,2
1.2.826.0.1.3680043.13814,2
1.2.826.0.1.3680043.13820,4
1.2.826.0.1.3680043.13902,3
1.2.826.0.1.3680043.13913,2
1.2.826.0.1.3680043.13917,4
1.2.826.0.1.3680043.13943,0
1.2.826.0.1.3680043.13950,3
1.2.826.0.1.3680043.13954,2
1.2.826.0.1.3680043.13967,2
1.2.826.0.1.3680043.13969,0
1.2.826.0.1.3680043.13975,4
1.2.826.0.1.3680043.14,1
1.2.826.0.1.3680043.14009,0
1.2.826.0.1.3680043.14012,3
1.2.826.0.1.3680043.14029,3
1.2.826.0.1.3680043.14038,2
1.2.826.0.1.3680043.14059,3
1.2.826.0.1.3680043.1406,1
1.2.826.0.1.3680043.14070,0
1.2.826.0.1.3680043.14071,2
1.2.826.0.1.3680043.14078,2
1.2.826.0.1.3680043.14087,0
1.2.826.0.1.3680043.14089,0
1.2.826.0.1.3680043.14093,1
1.2.826.0.1.3680043.14157,0
1.2.826.0.1.3680043.14174,2
1.2.826.0.1.3680043.14186,1
1.2.826.0.1.3680043.142,1
1.2.826.0.1.3680043.14232,1
1.2.826.0.1.3680043.14234,4
1.2.826.0.1.3680043.14262,0
1.2.826.0.1.3680043.14263,3
1.2.826.0.1.3680043.14267,4
1.2.826.0.1.3680043.1427,4
1.2.826.0.1.3680043.14278,0
1.2.826.0.1.3680043.1429,1
1.2.826.0.1.3680043.143,2
1.2.826.0.1.3680043.14341,4
1.2.826.0.1.3680043.14345,0
1.2.826.0.1.3680043.14348,0
1.2.826.0.1.3680043.14360,4
1.2.826.0.1.3680043.14369,2
1.2.826.0.1.3680043.14380,3
1.2.826.0.1.3680043.14405,2
1.2.826.0.1.3680043.14419,1
1.2.826.0.1.3680043.14421,3
1.2.826.0.1.3680043.1443,4
1.2.826.0.1.3680043.14435,2
1.2.826.0.1.3680043.14454,0
1.2.826.0.1.3680043.14459,3
1.2.826.0.1.3680043.14464,3
1.2.826.0.1.3680043.14465,4
1.2.826.0.1.3680043.14467,1
1.2.826.0.1.3680043.14589,1
1.2.826.0.1.3680043.14598,2
1.2.826.0.1.3680043.14615,1
1.2.826.0.1.3680043.14652,3
1.2.826.0.1.3680043.14654,0
1.2.826.0.1.3680043.14669,2
1.2.826.0.1.3680043.14697,0
1.2.826.0.1.3680043.1470,3
1.2.826.0.1.3680043.14704,3
1.2.826.0.1.3680043.14723,4
1.2.826.0.1.3680043.14728,0
1.2.826.0.1.3680043.14740,0
1.2.826.0.1.3680043.1476,4
1.2.826.0.1.3680043.14780,4
1.2.826.0.1.3680043.1479,2
1.2.826.0.1.3680043.14790,0
1.2.826.0.1.3680043.1480,1
1.2.826.0.1.3680043.14823,2
1.2.826.0.1.3680043.14833,1
1.2.826.0.1.3680043.14847,3
1.2.826.0.1.3680043.14852,1
1.2.826.0.1.3680043.14868,3
1.2.826.0.1.3680043.14902,2
1.2.826.0.1.3680043.14916,0
1.2.826.0.1.3680043.14917,0
1.2.826.0.1.3680043.14925,3
1.2.826.0.1.3680043.14994,1
1.2.826.0.1.3680043.15000,0
1.2.826.0.1.3680043.15006,3
1.2.826.0.1.3680043.15016,4
1.2.826.0.1.3680043.15084,3
1.2.826.0.1.3680043.1509,2
1.2.826.0.1.3680043.15105,2
1.2.826.0.1.3680043.15113,2
1.2.826.0.1.3680043.15149,0
1.2.826.0.1.3680043.15151,1
1.2.826.0.1.3680043.15197,0
1.2.826.0.1.3680043.15206,1
1.2.826.0.1.3680043.15213,3
1.2.826.0.1.3680043.15253,0
1.2.826.0.1.3680043.15259,4
1.2.826.0.1.3680043.15277,0
1.2.826.0.1.3680043.15325,3
1.2.826.0.1.3680043.15338,4
1.2.826.0.1.3680043.15349,2
1.2.826.0.1.3680043.15386,0
1.2.826.0.1.3680043.15404,2
1.2.826.0.1.3680043.15418,1
1.2.826.0.1.3680043.1542,1
1.2.826.0.1.3680043.15474,3
1.2.826.0.1.3680043.15485,2
1.2.826.0.1.3680043.15492,0
1.2.826.0.1.3680043.15542,4
1.2.826.0.1.3680043.15563,4
1.2.826.0.1.3680043.15570,3
1.2.826.0.1.3680043.15576,3
1.2.826.0.1.3680043.15587,1
1.2.826.0.1.3680043.15593,0
1.2.826.0.1.3680043.15621,2
1.2.826.0.1.3680043.15623,2
1.2.826.0.1.3680043.15627,0
1.2.826.0.1.3680043.15641,2
1.2.826.0.1.3680043.15669,3
1.2.826.0.1.3680043.15674,2
1.2.826.0.1.3680043.15680,2
1.2.826.0.1.3680043.15699,0
1.2.826.0.1.3680043.1573,1
1.2.826.0.1.3680043.15733,3
1.2.826.0.1.3680043.15773,1
1.2.826.0.1.3680043.15776,1
1.2.826.0.1.3680043.15785,0
1.2.826.0.1.3680043.15809,1
1.2.826.0.1.3680043.15840,1
1.2.826.0.1.3680043.15842,2
1.2.826.0.1.3680043.15845,4
1.2.826.0.1.3680043.15857,4
1.2.826.0.1.3680043.15891,4
1.2.826.0.1.3680043.15909,4
1.2.826.0.1.3680043.15917,2
1.2.826.0.1.3680043.15926,4
1.2.826.0.1.3680043.15952,1
1.2.826.0.1.3680043.15979,1
1.2.826.0.1.3680043.15981,4
1.2.826.0.1.3680043.15994,1
1.2.826.0.1.3680043.16027,3
1.2.826.0.1.3680043.16030,3
1.2.826.0.1.3680043.1606,1
1.2.826.0.1.3680043.16092,4
